quoter,quote,quotee,qomments,comments,id,1292
ALT,let's define watermelons like this,ABK,,,685406569373892641,
ALT,i didn't know you could jump while distracted,ABK,,,685633249237663768,
IXA,living at ET had made me more paranoid about stepping near piles of blankets,ALT,,,685647843939319813,
IXA,I decided to write myself a friend,ABK,,,685674955802673174,
ALT,what is fatter than a sphere? i think a sphere is the fattest thing,DHH,,,687908645127847987,
ALT,what does it mean to be fat,JB,,,687908687779463170,
ALT,you can get extremely skinny by being a fractal,DHH,,,687909029636603920,
ALT,world wars are quite bad,JB,,,687932262784040960,
BAC,"hey, people need places to live during coronavirus",BAC,,,688156595817021545,
BAC,live UP my FUCKIN' ASS!,PS,,,688156595817021545,
HER,is the threshold for a flamewar the same as an orgy,KT,,,688526790024888356,
HER,I am not a condom!,IXA,,,688550602476617739,
IXA,we need condoms in front rooms! it's urgent!,KT,,,688554981259083818,
HER,we concluded that python is sex furniture for his worms,BAC,,,688561122046902290,
ALT,it's the damn polygons,ABK,,,688577899271684107,
PS,uno definitely needs a gm,JB,,,689673232584146990,
PS,"that's just pure shit, you can't get any purer than that. It's like, been through their digestive system.",?,,,690015066585694216,
HER,we should avoid thinking about the existence of negative numbers as much as we can,AWD,,,691168232534441994,
ALT,there are -1 watermelons on my desk. that's a perfectly natural thing to say,Henry Cohn,probably,,691173931343806494,
BR,do YOU want to have sex in front of your dad?,JY,to ixa,,691455241102688307,
JY,depending on the circumstances,SPAN,,,691458297592545392,
JY,If it's truck sex and I am a truck,M2W,,,691459216904290355,
IXA,the weeb becomes the weeb-er,PS,,,692033503797313576,
DHH,chocolate is better than salty estrogen,JHH,,,692545314057486386,
IXA,Where's boobs? I don't see boobs...,JY,sleepily,,692781367775461447,
PS,Is there any nonconsensual sex in animal crossing,AAH,,,693288749773226046,
PS,What's a new moon?,?,,,694338568159625297,
PS,"Deadass, you're an astronomer, how do you not know what a new moon is?",?,,,694338568159625297,
ALT,welcome to the new 2-135 equals my kitchen,Peter Hintz,,,694541328339435610,
HER,"elbows are the epitome of what it means to be human, with a body",AWD,,,695156204015452170,
PS,I feel bad that some people have better genders than others,?,,,696191440719577118,
MLE,Did you want them to fuck the car?,?,,,696203967499337770,
MLE,"Span, have you ever heard of a bicycle?",?,,,696418133698936873,
PS,is it necrophilia if they're both dead?,?,,,697499635438190782,
PS,I'm currently looking at the wikipedia article for posthumous sperm retreival,?,,,697499980461768774,
M2W,I hate raccoons,SPAN,,,698184377963773964,
PS,I'm a Pravi counter fetish,JY,,,698671977841295390,
ALT,so i LIVE with andy,CJQ,admitting to living at et,,699794480756293642,
PS,What's it like being outside?,KS,,,700176930498150472,
BR,is onemonepitia[sic] valid,IXA,,,700186679734042655,
PS,"oh my god no do not eat panda tears. that sounds like, comically evil",?,,,700888860954984529,
ALT,well i can see something in della's eyes. it's minecraft,JB,,,701288826814857237,
PS,so eugenics is okay but fraud isn't?,M2W,,,701956468731281422,
PS,Are you okay?!?,?,,,702571986114838608,
PS,yeah I'm fin-,?,,,702571986114838608,
PS,"No, sorry, I asked your charger if it was okay",?,,,702571986114838608,
M2W,gao means read my mind,?,,,702700339446546472,
AWD,"I just turned in this [grant?] proposal today, and it's kinda been ruining my life for the last six weeks. You might think other things would be, but it's really just this.",?,,(Are Zoom calls adequately irl?),703039416150654976,
BR,What are those pre-freshman things called again? KPOPs?,BR's mom,,,704050010505084970,
IXA,ears do not a furry make,MLE,,,706167247265202186,
BR,"unlike air guitar, the only difference between air theremin and theremin is how close you are to a theremin",?,,not irl but in a discord server i'm in,709268171546427433,
M2W,fuck you! let go of me! hail satan!,all of TB,,,710342127154102313,
PS,"We'll bring the raccoon onesie, cable, oil, and pliers. Specific type of pliers?",RBS,,,710925616311959622,
IXA,can I be a commitment tsundere?,JY,,,711752129999798332,
PS,I too love watersports,JY,,,712453318378782794,
JY,Why the fuck did you put a bow on your penis?,IXA,to jy,[explicit],713099354382139463,
ALT,i don't want to play tichu,MG,via aaa,,713892559276998767,
PS,"I'm not talking about as the crow flies, I'm talking about as the jason yeets",JY,,,716525910244982854,
PS,werewolves are compatible with all types of furries,KS,,,717166503300038656,
PS,... and one of them is called _AshEevee,?,,,718280184758796318,
PS,Is that a ship?,?,,,718280184758796318,
PS,"*room devolves into groans except for a single ""Yeah!""*",?,,,718280184758796318,
JY,"The three genders: prep, bro, and chill",?,,,718288451895558154,
ALT,now you know what the waiting room is like,DHH,,,721114990572208180,
ALT,it's not a great place to be,JB,,,721114990572208180,
M2W,corona is the best time to go raid and pillage,?,,,729367842847326219,
M2W,it's kind of sad that I'm at the point in my life that I'm requesting use of the sex tent,PS,,,730600208928473111,
ALT,"oh my god, there's so many sausages on your head",ABK,,,733814657692860417,
ALT,*joins zoom room*,JK,,,734200029933338644,
ALT,"oh hey, look who's just in",ABK,,,734200029933338644,
ALT,*leaves zoom room*,JK,,,734200029933338644,
JY,I'm not smol; I'm fun-sized,IXA,,,734225460858191963,
PS,I have acrobatics +7 so I tend to jump to conclusions.,DP,,,737499932529000527,
BR,I'm not gonna validate your feelings of being a failure anymore.,BR's mom,,,745048862456152165,
ALT,"if i look outside, i don't see all the trees disappearing every day",JB,,,749462420438646866,
IXA,"tichu being bad is not an opinion, it's a fact",JY,,,749841342338695209,
ALT,"cmon, baby, fold into a cube",CJQ,,,753155638372335617,
IXA,shibboleth sounds like taxes,mtheng,,,753845049477038121,
JY,oove me matress,?,,,758867014973521962,
JY,I'm saying sex... Potter ... Harry Sex Potter,IXA,,,759667987782434836,
IXA,"yan sheng, the corporate commercial",ABK,,,762134769554292767,
IXA,if the moon eats a guy that's in a pizze pie that's a-vore,RB,,,762135750245351495,
ALT,"like, imagine you're in class, and the professor raises their hand... like, what do you do?!?!",DHH,,,762138440174796821,
ALT,i don't know exactly what parties look like,DHH,,,762144523043995658,
IXA,what time do russians eat dinner? 2pi+e o clock!,ALT,,,762145420247040008,
VLB,i have written code before that worked as intended the first time i ran it,BR,,,762174025882796052,
ALT,"oh, is it possible to get into your pants?",ABY,,,762187000131878944,
IXA,so basically you want Google not to be racist.....and you think the correct way to do this is to go to library grad school?,?,,,762810307801907271,
ABK,i'm kind of stupid with terminology,person leading recitation,,,763413338121830400,
ALT,there are memes about how many carrots there are,ABK,,,763523863908712448,
KE,how do you put that much water in a rat,a friend from summer camp,on the LD50 of water,,764678216602222663,
ALT,lil wayne's gonna get my pants,ABK,,,765098217632432150,
ALT,ok i feel safe with obama mama,ABK,,,765124504102895626,
Nat,There’s no ten second rule for internal organs!,PS,,,769004484926898176,
HER,I don't really understand steroids; is there anything they can't treat?,AWD,,,770892342466707487,
HER,do we have any data on whether trump usually sleeps naked?,AWD,,,779941262261223424,
BR,[raw eggs] aren't eggs anymore,IXA,,,781597787958935582,
BR,if there is no fire in it's [sic] soul it's not an egg,IXA,as a follow-up,TODO linked,781598462596218901,
BR,so if you're ambidextrous you become straight,IXA,,,786412114109268000,
JY,"Hunt, Pack, Tool: the hunter-gatherer MIT musical",?,,,787959172024369212,
